date,wheat_price,corn_price,cotton_price
4/4/1975,3.8225,3.055,0.413
4/7/1975,3.775,3.0675,0.418
4/8/1975,3.7725,3.055,0.415
4/9/1975,3.7825,3.055,0.413
4/10/1975,3.6525,2.95,0.41
4/11/1975,3.6525,2.945,0.415
4/14/1975,3.6375,2.9275,0.414
4/15/1975,3.515,2.8975,0.417
4/16/1975,3.575,2.885,0.423
4/17/1975,3.5875,2.965,0.428
4/18/1975,3.5675,2.9125,0.44
4/21/1975,3.5225,2.9225,0.43
4/22/1975,3.445,2.9075,0.433
4/23/1975,3.4775,2.9375,0.433
4/24/1975,3.4625,2.9775,0.432
4/25/1975,3.5075,3.0575,0.437
4/28/1975,3.5575,3.0425,0.44
4/29/1975,3.47,2.985,0.442
4/30/1975,3.4125,2.975,0.431
5/1/1975,3.1975,2.8775,0.435
5/2/1975,3.2675,2.915,0.432
5/5/1975,3.19,2.8625,0.436
5/6/1975,3.1525,2.8475,0.439
5/7/1975,3.225,2.7925,0.437
5/8/1975,3.2925,2.825,0.44
5/9/1975,3.2975,2.845,0.441
5/12/1975,3.305,2.88,0.444
5/13/1975,3.3125,2.915,0.43
5/14/1975,3.305,2.9025,0.431
5/15/1975,3.2775,2.8425,0.441
5/16/1975,3.2525,2.8175,0.433
5/19/1975,3.4275,2.8675,0.439
5/20/1975,3.3575,2.9125,0.439
5/21/1975,3.29,2.925,0.441
5/22/1975,3.2975,2.88,0.437
5/23/1975,3.265,2.8625,0.424
5/27/1975,3.1375,2.79,0.421
5/28/1975,3.1425,2.7975,0.433
5/29/1975,3.0975,2.835,0.432
5/30/1975,3.085,2.8575,0.43
6/2/1975,2.9875,2.85,0.426
6/3/1975,2.9275,2.885,0.43
6/4/1975,3.005,2.905,0.44
6/5/1975,2.9775,2.9025,0.437
6/6/1975,2.965,2.8725,0.447
6/9/1975,3.0475,2.9175,0.446
6/10/1975,3.02,2.9075,0.447
6/11/1975,2.9525,2.945,0.445
6/12/1975,2.915,2.9125,0.442
6/13/1975,2.925,2.86,0.447
